image,parent_folder_name
dataset/training/asteroid/asteroid_page_1_image_10_0_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_10_1_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_10_2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_10_3_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_10_4_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_10_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_10_aug3_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_12_0_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_12_1_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_12_4_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_12_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_12_aug2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_13_0_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_13_1_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_13_2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_13_3_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_13_4_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_13_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_13_aug2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_13_aug3_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_4_0_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_4_1_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_4_2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_4_4_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_4_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_4_aug2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_4_aug3_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_8_0_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_8_2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_8_3_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_8_4_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_8_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_8_aug2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_9_0_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_9_1_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_9_2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_9_3_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_9_4_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_9_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_9_aug2_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_1_image_9_aug3_SwinIR_large.jpg,asteroid
dataset/training/asteroid/asteroid_page_2_image_11_1_SwinIR_large.jpg,asteroid
